matEdi,matId,matPathVal,matTitulo,matLink
1835,162288,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,Ato 98682032009,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=162288&edi_id=1835
1835,162289,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,Ato nº.9868203/2009,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=162289&edi_id=1835
1835,162290,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,Ato nº. 9868203/2009,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=162290&edi_id=1835
