matEdi,matId,matPathVal,matTitulo,matLink
1792,154943,Categorias | PODER EXECUTIVO | DECRETO,DECRETO 1431,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154943&edi_id=1792
1792,154944,Categorias | PODER EXECUTIVO | DECRETO,DECRETO 1474,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154944&edi_id=1792
1792,154966,Categorias | PODER EXECUTIVO | DECRETO,DECRETO 1475,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154966&edi_id=1792
1792,154967,Categorias | PODER EXECUTIVO | DECRETO,DECRETO 1476,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154967&edi_id=1792
1792,154968,Categorias | PODER EXECUTIVO | DECRETO,DECRETO 1477,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154968&edi_id=1792
1792,155006,Categorias | PODER EXECUTIVO | DECRETO ORCAMENTARIO,Decreto Orça 184,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155006&edi_id=1792
1792,155007,Categorias | PODER EXECUTIVO | DECRETO ORCAMENTARIO,Decreto Orça 185,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155007&edi_id=1792
1792,155008,Categorias | PODER EXECUTIVO | DECRETO ORCAMENTARIO,Decreto Orça 186,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155008&edi_id=1792
1792,154808,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | EXONERAÇÃO,ATO 7293,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154808&edi_id=1792
1792,154809,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | EXONERAÇÃO,ATO 7294,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154809&edi_id=1792
1792,154951,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | EXONERAÇÃO,ATO 7295,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154951&edi_id=1792
1792,154952,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | EXONERAÇÃO,ATO 7296,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154952&edi_id=1792
1792,154962,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | EXONERAÇÃO,ATO 7297,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154962&edi_id=1792
1792,154942,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | NOMEAÇÃO,ATO 7126,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154942&edi_id=1792
1792,154958,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | NOMEAÇÃO,ATO 7298,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154958&edi_id=1792
1792,154991,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7299,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154991&edi_id=1792
1792,154993,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7301,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154993&edi_id=1792
1792,154994,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7302,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154994&edi_id=1792
1792,154955,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7303,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154955&edi_id=1792
1792,154960,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7304,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154960&edi_id=1792
1792,154959,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7305,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154959&edi_id=1792
1792,154961,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7306,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154961&edi_id=1792
1792,154963,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7307,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154963&edi_id=1792
1792,154965,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7308,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154965&edi_id=1792
1792,154970,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7309,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154970&edi_id=1792
1792,154971,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7310,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154971&edi_id=1792
1792,154979,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7311,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154979&edi_id=1792
1792,154980,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7312,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154980&edi_id=1792
1792,154981,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7313,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154981&edi_id=1792
1792,154982,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7314,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154982&edi_id=1792
1792,154983,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7315,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154983&edi_id=1792
1792,154984,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7316,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154984&edi_id=1792
1792,154985,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7317,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154985&edi_id=1792
1792,154986,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7318,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154986&edi_id=1792
1792,154987,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7319,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154987&edi_id=1792
1792,154988,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7320,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154988&edi_id=1792
1792,154989,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7321,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154989&edi_id=1792
1792,154990,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7322,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154990&edi_id=1792
1792,154995,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7323,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154995&edi_id=1792
1792,154996,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7324,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154996&edi_id=1792
1792,154997,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7325,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154997&edi_id=1792
1792,154998,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7326,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154998&edi_id=1792
1792,154999,Categorias | PODER EXECUTIVO | ATO DO GOVERNADOR | DIVERSOS,ATO 7327,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154999&edi_id=1792
1792,155005,Categorias | PODER EXECUTIVO | SECRETARIAS | CASA CIVIL,EXTRATO CIEE,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155005&edi_id=1792
1792,155000,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,LICENÇA ATIVIDADE POLITICA - FRANCISCO VALTENIO SALES FERREIRA,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155000&edi_id=1792
1792,155001,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,PRORROGAÇÃO DE LIC QUAL PROF. DE MARFA MAGALI ROEHRS,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155001&edi_id=1792
1792,155002,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,RETIFICAÇÃO DE LICENÇA P QUALIFICAÇÃO PROFISSIONAL DE LUCIENE DE MORAES ROSA,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155002&edi_id=1792
1792,155003,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,LICENÇA QUALIFICAÇÃO DE ILZA MARIA tRABACHIN AFERRAZ,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=155003&edi_id=1792
1792,154755,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 793/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154755&edi_id=1792
1792,154756,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 794/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154756&edi_id=1792
1792,154757,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 795/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154757&edi_id=1792
1792,154758,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 797/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154758&edi_id=1792
1792,154759,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 802/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154759&edi_id=1792
1792,154760,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 811/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154760&edi_id=1792
1792,154761,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 812/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154761&edi_id=1792
1792,154762,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 787/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154762&edi_id=1792
1792,154763,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 788/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154763&edi_id=1792
1792,154764,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 790/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154764&edi_id=1792
1792,154765,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 791/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154765&edi_id=1792
1792,154766,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,ATO ADMINISTRATIVO Nº 792/2008/SAD,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154766&edi_id=1792
1792,154901,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,1452 . 2008 - Ato PV - Secitec,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154901&edi_id=1792
1792,154707,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,PORTARIA Nº. 060/2008 - SGP/SAD.,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154707&edi_id=1792
1792,154946,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,PORTARIA Nº. 061/2008 - SGP/SAD.,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154946&edi_id=1792
1792,154947,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,PORTARIA Nº. 062/2008 - SGP/SAD.,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154947&edi_id=1792
1792,154948,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,PORTARIA Nº. 063/2008 - SGP/SAD.,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154948&edi_id=1792
1792,154964,Categorias | PODER EXECUTIVO | SECRETARIAS | ADMINISTRAÇÃO,Procon e TJ,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=154964&edi_id=1792
