matEdi,matId,matPathVal,matTitulo,matLink
1966,48959,Categorias | ATOS DO PREFEITO | DECRETOS N,DECRETO Nº 36694,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48959&edi_id=1966
1966,48960,Categorias | ATOS DO PREFEITO | DECRETOS N,DECRETO Nº 36695,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48960&edi_id=1966
1966,48961,Categorias | ATOS DO PREFEITO | DECRETOS N,DECRETO Nº 36696,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48961&edi_id=1966
1966,48948,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 83,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48948&edi_id=1966
1966,48949,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 84,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48949&edi_id=1966
1966,48950,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 85,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48950&edi_id=1966
1966,48952,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 86,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48952&edi_id=1966
1966,48953,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 87,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48953&edi_id=1966
1966,48954,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 88,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48954&edi_id=1966
1966,48955,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 89,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48955&edi_id=1966
1966,48956,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 90,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48956&edi_id=1966
1966,48957,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 91,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48957&edi_id=1966
1966,48958,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 92,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48958&edi_id=1966
1966,48951,Categorias | DESPACHOS DO PREFEITO,DESPACHOS DO PREFEITO DE 03-01-13,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48951&edi_id=1966
1966,48945,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | RESOLUÇÕES | RESOLUÇÃO P,RESOLUÇÃO P Nº 293,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48945&edi_id=1966
1966,48946,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | RESOLUÇÕES | RESOLUÇÃO P,RESOLUÇÃO P Nº 294,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48946&edi_id=1966
1966,48947,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | RESOLUÇÕES | RESOLUÇÃO P,RESOLUÇÃO P Nº 295,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48947&edi_id=1966
1966,48867,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | COMISSÃO DE QUALIFICAÇÃO DE ORGANIZAÇÕES SOCIAS | OUTROS,Deliberação n° 80,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48867&edi_id=1966
1966,48757,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | SUBSECRETARIAS | SUBSECRETARIA DE GESTÃO  | PORTARIAS | PORTARIA P,Portaria,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48757&edi_id=1966
1966,48799,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | SUBSECRETARIAS | SUBSECRETARIA DE GESTÃO  | OUTROS,APOSTILA DA GERENTE,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48799&edi_id=1966
1966,48926,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO | OUTROS,DIRETORIA DE PREVIDÊNCIA E ASSISTÊNCIA,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48926&edi_id=1966
1966,48919,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS | DESPACHOS,03.01.2013,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48919&edi_id=1966
1966,48908,Categorias |  SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS | COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIÃO DO PORTO DO RIO DE JANEIRO SA | PORTARIAS | PORTARIA P,PORTARIA 115 ARNALDO,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48908&edi_id=1966
1966,48848,Categorias |  SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS | COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIÃO DO PORTO DO RIO DE JANEIRO SA | PORTARIAS | PORTARIA P,PORTARIA 111  Gabriela errata,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48848&edi_id=1966
1966,48851,Categorias |  SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS | COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIÃO DO PORTO DO RIO DE JANEIRO SA | PORTARIAS | PORTARIA P,PORTARIA 112 Paulo errata,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48851&edi_id=1966
1966,48853,Categorias |  SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS | COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIÃO DO PORTO DO RIO DE JANEIRO SA | PORTARIAS | PORTARIA P,PORTARIA 113 Gabriela Ger errata,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48853&edi_id=1966
1966,48855,Categorias |  SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS | COMPANHIA DE DESENVOLVIMENTO URBANO DA REGIÃO DO PORTO DO RIO DE JANEIRO SA | PORTARIAS | PORTARIA P,PORTARIA 114  Paulo cons jurid errata,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48855&edi_id=1966
1966,48779,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,19 12 2012M,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48779&edi_id=1966
1966,48780,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,21 12 2012M,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48780&edi_id=1966
1966,48783,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,27 12 2012M,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48783&edi_id=1966
1966,48784,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,28 12 2012M,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48784&edi_id=1966
1966,48785,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,02 01 2013M,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48785&edi_id=1966
1966,48886,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,02 01 2013,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48886&edi_id=1966
1966,48897,Categorias | SECRETARIA MUNICIPAL DE ORDEM PÚBLICA | COORDENADORIAS | INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO-IRLF | 3ª INSPETORIA REGIONAL DE LICENCIAMENTO E FISCALIZAÇÃO  | DESPACHOS,02 01 2013,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=48897&edi_id=1966
